Time [s]	x [mm]	y [mm]	Voltage [V]	Current [A]
43.01533120003296	0.0	0.0	0.0	3.446262e-07
48.76261670002714	10.0	0.0	0.0	3.825001e-07
52.681221200036816	20.0	0.0	0.0	4.252982e-07
57.439376800030004	30.0	0.0	0.0	4.680536e-07
61.81328330002725	40.0	0.0	0.0	5.12173e-07
66.13255620002747	50.0	0.0	0.0	5.467725e-07
70.4700315000373	60.0	0.0	0.0	5.861334e-07
75.19088950002333	70.0	0.0	0.0	5.854024e-07
79.34277500002645	80.0	0.0	0.0	5.722408e-07
83.96809770003892	90.0	0.0	0.0	5.511158e-07
88.15900139999576	100.0	0.0	0.0	5.123838e-07
93.96896070003277	110.0	0.0	0.0	4.785969e-07
97.49467779998668	120.0	0.0	0.0	4.401856e-07
103.35169330000645	130.0	0.0	0.0	4.163005e-07
110.20251909998478	140.0	0.0	0.0	3.568337e-07
141.12904760002857	0.0	10.0	0.0	3.748693e-07
148.30932810000377	10.0	10.0	0.0	4.29958e-07
151.95926040003542	20.0	10.0	0.0	4.843454e-07
155.76170860003913	30.0	10.0	0.0	5.414111e-07
165.12433140003122	40.0	10.0	0.0	5.923667e-07
169.29619990003994	50.0	10.0	0.0	6.49683e-07
172.78489790001186	60.0	10.0	0.0	6.944909e-07
176.8064580000355	70.0	10.0	0.0	6.782979e-07
182.69213929999387	80.0	10.0	0.0	6.455418e-07
187.86304110003402	90.0	10.0	0.0	6.147319e-07
193.36247410002397	100.0	10.0	0.0	6.283004e-07
197.04985770001076	110.0	10.0	0.0	5.582954e-07
201.12117569998372	120.0	10.0	0.0	4.937097e-07
206.34118490002584	130.0	10.0	0.0	4.642069e-07
214.672453999985	140.0	10.0	0.0	3.878101e-07
227.0714297000086	0.0	20.0	0.0	4.09939e-07
231.56328719999874	10.0	20.0	0.0	4.798318e-07
241.58727660001023	20.0	20.0	0.0	5.520315e-07
254.31343650002964	30.0	20.0	0.0	6.71174e-07
272.9534869000199	40.0	20.0	0.0	7.661567e-07
283.1388483000337	50.0	20.0	0.0	1.658073e-06
287.36579539999366	60.0	20.0	0.0	2.760097e-06
293.0116740000085	70.0	20.0	0.0	2.645678e-06
297.54652219999116	80.0	20.0	0.0	1.758079e-06
301.8974951999844	90.0	20.0	0.0	9.49235e-07
308.8673665000242	100.0	20.0	0.0	8.094987e-07
314.9931142000132	110.0	20.0	0.0	7.040909e-07
320.68254190002335	120.0	20.0	0.0	6.058197e-07
326.0862743000034	130.0	20.0	0.0	5.205728e-07
333.33146120002493	140.0	20.0	0.0	4.342776e-07
344.61106820002897	0.0	30.0	0.0	4.652086e-07
350.98054550000234	10.0	30.0	0.0	5.866833e-07
357.68851180002093	20.0	30.0	0.0	7.536178e-07
362.2852965000202	30.0	30.0	0.0	9.567719e-07
366.43434129998786	40.0	30.0	0.0	2.498459e-06
372.18377780000446	50.0	30.0	0.0	3.315588e-06
377.4070608000038	60.0	30.0	0.0	4.20798e-06
382.91783930000383	70.0	30.0	0.0	4.411819e-06
389.5473316999851	80.0	30.0	0.0	3.82622e-06
394.26087649998954	90.0	30.0	0.0	2.958879e-06
398.9961964000249	100.0	30.0	0.0	1.424246e-06
406.04409560002387	110.0	30.0	0.0	8.092524e-07
412.8689181000227	120.0	30.0	0.0	7.000867e-07
419.1554637000081	130.0	30.0	0.0	6.086229e-07
425.45432930003153	140.0	30.0	0.0	4.714395e-07
461.8670242000371	0.0	40.0	0.0	5.635263e-07
466.0973421999952	10.0	40.0	0.0	7.039918e-07
472.1017060999875	20.0	40.0	0.0	9.949968e-07
478.7288026000024	30.0	40.0	0.0	2.483403e-06
484.50365540001076	40.0	40.0	0.0	4.062451e-06
491.8799953000271	50.0	40.0	0.0	8.018217e-06
499.27353280002717	60.0	40.0	0.0	1.320919e-05
506.6656961000408	70.0	40.0	0.0	2.106821e-05
511.5205589000252	80.0	40.0	0.0	1.111143e-05
516.0198709000251	90.0	40.0	0.0	7.067518e-06
521.1312232000055	100.0	40.0	0.0	3.867977e-06
527.2738569999929	110.0	40.0	0.0	2.202475e-06
534.6565966000198	120.0	40.0	0.0	8.676232e-07
542.1386199999833	130.0	40.0	0.0	7.047981e-07
550.7843243000098	140.0	40.0	0.0	5.477244e-07
563.6865249000257	0.0	50.0	0.0	8.496706e-07
569.6433561000158	10.0	50.0	0.0	8.49873e-07
575.3579185000272	20.0	50.0	0.0	1.890962e-06
580.7670590000344	30.0	50.0	0.0	4.030053e-06
585.4636783000315	40.0	50.0	0.0	6.61643e-06
590.5375182999996	50.0	50.0	0.0	2.301844e-05
597.8271528999903	60.0	50.0	0.0	0.000157106
603.5245303999982	70.0	50.0	0.0	0.0002511924
608.833777700027	80.0	50.0	0.0	7.815847e-05
614.9790661000297	90.0	50.0	0.0	1.462011e-05
620.6355671000201	100.0	50.0	0.0	5.895584e-06
625.8162338000257	110.0	50.0	0.0	3.264116e-06
632.9968853000319	120.0	50.0	0.0	1.105856e-06
639.616611000034	130.0	50.0	0.0	7.507754e-07
649.4889499000274	140.0	50.0	0.0	5.954164e-07
665.547372400004	0.0	60.0	0.0	3.838964e-07
672.0232692999998	10.0	60.0	0.0	1.130359e-06
679.0951367000234	20.0	60.0	0.0	2.606048e-06
685.3324738999945	30.0	60.0	0.0	5.312728e-06
690.5963149000308	40.0	60.0	0.0	1.107419e-05
696.5551836999948	50.0	60.0	0.0	0.0004755502
702.0030570999952	60.0	60.0	0.0	0.003546677
706.3650867000106	70.0	60.0	0.0	0.002442327
710.9664935999899	80.0	60.0	0.0	0.002363107
715.4196186999907	90.0	60.0	0.0	0.0001537814
720.8482635000255	100.0	60.0	0.0	9.056147e-06
726.2363708000048	110.0	60.0	0.0	4.257295e-06
732.205466000014	120.0	60.0	0.0	1.879924e-06
736.3766213000054	130.0	60.0	0.0	8.732087e-07
741.5466350000352	140.0	60.0	0.0	6.566947e-07
762.7437319000019	0.0	70.0	0.0	3.463319e-07
767.4562309000175	10.0	70.0	0.0	1.218594e-06
771.8709283000208	20.0	70.0	0.0	2.799139e-06
780.5364719000063	30.0	70.0	0.0	4.630413e-06
784.5452570000198	40.0	70.0	0.0	1.212501e-05
788.1716581000364	50.0	70.0	0.0	0.0004961669
793.8517639000202	60.0	70.0	0.0	0.002371564
802.0567375000101	70.0	70.0	0.0	0.003362076
807.7122629000223	80.0	70.0	0.0	0.002368599
812.0182816000306	90.0	70.0	0.0	0.0002534662
816.2702152000275	100.0	70.0	0.0	1.085718e-05
820.9842798000318	110.0	70.0	0.0	4.792452e-06
825.7018962000147	120.0	70.0	0.0	2.249019e-06
830.7739849000354	130.0	70.0	0.0	9.230571e-07
836.9980331000406	140.0	70.0	0.0	7.190256e-07
850.895646399993	0.0	80.0	0.0	1.949944e-07
857.0970666999929	10.0	80.0	0.0	4.433778e-07
864.0477307999972	20.0	80.0	0.0	2.142329e-06
868.665501600015	30.0	80.0	0.0	4.480564e-06
874.0882314000046	40.0	80.0	0.0	1.128968e-05
879.6696407999843	50.0	80.0	0.0	0.00061268
884.0937014000374	60.0	80.0	0.0	0.003164349
891.5003384000156	70.0	80.0	0.0	0.002829863
897.5356773000094	80.0	80.0	0.0	0.002720577
902.5549086999963	90.0	80.0	0.0	0.0001328939
907.4495307999896	100.0	80.0	0.0	9.2568e-06
912.1021325000329	110.0	80.0	0.0	4.613496e-06
917.2567157000303	120.0	80.0	0.0	2.40803e-06
922.5064261000371	130.0	80.0	0.0	9.54288e-07
927.3764339000336	140.0	80.0	0.0	7.65639e-07
941.0673717000172	0.0	90.0	0.0	2.704143e-07
946.7382434000028	10.0	90.0	0.0	1.115267e-06
952.3697290000273	20.0	90.0	0.0	2.437743e-06
957.7600214999984	30.0	90.0	0.0	3.709087e-06
962.7148086000234	40.0	90.0	0.0	5.818831e-06
967.0622161999927	50.0	90.0	0.0	3.128488e-05
972.7993485000334	60.0	90.0	0.0	0.0004211861
985.8828346999944	70.0	90.0	0.0	0.0004430974
992.9733755000052	80.0	90.0	0.0	0.0001242663
997.7408226000261	90.0	90.0	0.0	2.307518e-05
1002.7075561000383	100.0	90.0	0.0	7.187664e-06
1007.0993123000371	110.0	90.0	0.0	3.927953e-06
1011.6915521000046	120.0	90.0	0.0	2.050236e-06
1015.7817573000211	130.0	90.0	0.0	1.053743e-06
1022.1909541999921	140.0	90.0	0.0	8.347396e-07
1063.8168434000108	0.0	100.0	0.0	2.92114e-07
1068.6178359999903	10.0	100.0	0.0	1.080469e-06
1074.8995397000108	20.0	100.0	0.0	1.657252e-06
1079.302522699989	30.0	100.0	0.0	2.64125e-06
1083.011138700007	40.0	100.0	0.0	4.041464e-06
1089.9838889000239	50.0	100.0	0.0	7.065525e-06
1094.1571436999948	60.0	100.0	0.0	2.050925e-05
1100.284871299984	70.0	100.0	0.0	4.190316e-05
1106.9688998000347	80.0	100.0	0.0	1.240699e-05
1111.7964976000367	90.0	100.0	0.0	9.940223e-06
1116.0547086999868	100.0	100.0	0.0	5.694197e-06
1121.8333037000266	110.0	100.0	0.0	3.478568e-06
1130.4237177000032	120.0	100.0	0.0	1.705611e-06
1136.0853373000282	130.0	100.0	0.0	1.21216e-06
1148.5758289000369	140.0	100.0	0.0	9.34057e-07
1211.6183581000078	0.0	110.0	0.0	7.68008e-07
1217.0813484000391	10.0	110.0	0.0	9.731405e-07
1222.2435250999988	20.0	110.0	0.0	1.628057e-06
1227.314961600001	30.0	110.0	0.0	2.794669e-06
1231.6452660000068	40.0	110.0	0.0	3.731076e-06
1236.2332516000024	50.0	110.0	0.0	6.877228e-06
1241.5648873000173	60.0	110.0	0.0	1.028125e-05
1246.584956100036	70.0	110.0	0.0	1.140688e-05
1252.7696516999858	80.0	110.0	0.0	8.575172e-06
1256.4551687000203	90.0	110.0	0.0	5.167463e-06
1260.7383356000064	100.0	110.0	0.0	3.685527e-06
1265.0733338000136	110.0	110.0	0.0	2.489336e-06
1268.9142284999834	120.0	110.0	0.0	1.399987e-06
1273.2979557000217	130.0	110.0	0.0	1.273786e-06
1277.7174176999833	140.0	110.0	0.0	9.129979e-07
1350.5654417999904	0.0	120.0	0.0	6.919498e-07
1361.1397592999856	10.0	120.0	0.0	8.978949e-07
1367.5202732000034	20.0	120.0	0.0	1.07835e-06
1374.906290200015	30.0	120.0	0.0	1.350218e-06
1382.756579799985	40.0	120.0	0.0	2.045905e-06
1389.8076252000174	50.0	120.0	0.0	2.544706e-06
1394.907321000006	60.0	120.0	0.0	3.091669e-06
1405.8514352000202	70.0	120.0	0.0	3.255194e-06
1412.4774931999855	80.0	120.0	0.0	3.143238e-06
1417.676737700007	90.0	120.0	0.0	3.128289e-06
1424.456791500037	100.0	120.0	0.0	2.392343e-06
1429.2666889000102	110.0	120.0	0.0	1.878212e-06
1436.2905681999982	120.0	120.0	0.0	1.56609e-06
1443.1821753000258	130.0	120.0	0.0	1.411956e-06
1449.4135862999829	140.0	120.0	0.0	1.101845e-06
1538.2899399999878	0.0	130.0	0.0	6.732706e-07
1545.1054214999895	10.0	130.0	0.0	8.132525e-07
1549.3773834999884	20.0	130.0	0.0	9.92981e-07
1560.8811336000217	30.0	130.0	0.0	1.136699e-06
1566.6293628999847	40.0	130.0	0.0	1.199272e-06
1572.603469100024	50.0	130.0	0.0	1.274279e-06
1577.767517600034	60.0	130.0	0.0	1.421442e-06
1583.0901422000024	70.0	130.0	0.0	1.586093e-06
1589.3504027000163	80.0	130.0	0.0	1.725383e-06
1595.2093199000228	90.0	130.0	0.0	1.83397e-06
1601.2968703000224	100.0	130.0	0.0	1.846063e-06
1606.7469616000308	110.0	130.0	0.0	1.650804e-06
1611.5473692000378	120.0	130.0	0.0	1.509288e-06
1617.0843308999902	130.0	130.0	0.0	1.402786e-06
1624.728006099991	140.0	130.0	0.0	1.081774e-06
1647.7858104000334	0.0	140.0	0.0	6.260017e-07
1652.2618622999871	10.0	140.0	0.0	7.301666e-07
1656.6533257000265	20.0	140.0	0.0	8.750788e-07
1661.1172013999894	30.0	140.0	0.0	9.850945e-07
1667.6396085000015	40.0	140.0	0.0	1.038332e-06
1671.750306300004	50.0	140.0	0.0	1.131368e-06
1676.2216253000079	60.0	140.0	0.0	1.172922e-06
1681.8586655000108	70.0	140.0	0.0	1.317846e-06
1686.709287900012	80.0	140.0	0.0	1.624676e-06
1690.773615800019	90.0	140.0	0.0	1.671685e-06
1695.315485100029	100.0	140.0	0.0	1.56907e-06
1702.0791283000144	110.0	140.0	0.0	1.489207e-06
1708.3955211000284	120.0	140.0	0.0	1.441902e-06
1714.5203500000061	130.0	140.0	0.0	1.347465e-06
1721.6440712999902	140.0	140.0	0.0	9.50104e-07
