	x [mm]	y [mm]	Ratio 400-500 nm [%]	Ratio 500-600 nm [%]	Ratio 600-700 nm [%]	Ratio 700-800 nm [%]	Ratio 800-900 nm [%]	Ratio 900-1100 nm [%]
0	0.0	0.0	0.13197173851240573	0.22403079096782177	0.32975011382721264	0.5032001276139474	3.8053847809121777	95.00566244816645
1	10.0	0.0	0.12366600968490553	0.21939211535815226	0.34232911676680583	0.5201297193614772	4.008289802204188	94.78619323662447
2	20.0	0.0	-0.20093864022812274	-0.37300450344593983	-0.6818690899551675	-1.1625836231301476	2.303986982378957	100.11440887438042
3	30.0	0.0	0.12416583191900166	0.23894460615878405	0.48814345255998604	0.8496066309027503	5.230704078233775	93.0684354002257
4	40.0	0.0	0.12606068945265195	0.258164983824634	0.5665085100554069	1.0052788812399784	6.1051373629877475	91.93884957243958
5	50.0	0.0	0.17828360616443883	0.37505813773344204	0.8966937129621284	1.59359249622812	6.470254007512025	90.48611803939984
6	60.0	0.0	-0.18460816016019704	-0.40899708029495024	-0.9848097455743826	-1.7891071300172563	2.162948178490956	101.20457393755584
7	70.0	0.0	-0.22878958628163118	-0.48322468654599265	-1.1969089218226674	-2.2166696581163077	0.7219115657241558	103.40368128704245
8	80.0	0.0	0.12129959982950204	0.2577326262600853	0.6378734447158022	1.1408661942909872	3.963618915889203	93.87860921901441
9	0.0	10.0	0.19564202398709385	0.35563805572888774	0.6092429145532035	0.9799710944180806	4.407543883169746	93.45196202814299
10	10.0	10.0	0.08289361694193421	0.14918810883720782	0.2732285834246027	0.4624142148054273	4.045887056501292	94.98638841948953
11	20.0	10.0	-0.5132525314994388	-1.0396869344449318	-2.0731122342059645	-3.4991036921055705	-1.427829077467381	108.55298446972328
12	30.0	10.0	0.23910214205702685	0.5477251611114086	1.153490631128366	1.8262209682978736	7.1081046653430935	89.12535643206223
13	40.0	10.0	0.217616266197598	0.5122750978132221	1.1165010701870735	1.8376192345329088	8.908456775819426	87.40753155544978
14	50.0	10.0	0.3109074605324426	0.7293869895231564	1.7948291160268033	3.1069657918949085	10.498195179406387	83.55971546261631
15	60.0	10.0	0.7802811086319942	1.8617609901768442	5.010344248297866	8.642659379440463	10.649007428981914	73.05594684447091
16	70.0	10.0	0.2867285022386422	0.6811191486267727	1.8721843227201032	3.233837166450914	5.904523675707231	88.02160718425635
17	80.0	10.0	-0.2260349324344093	-0.5327841758428702	-1.3832666033946526	-2.3660863689001057	2.0854300331343607	102.4227420474377
18	0.0	20.0	-0.5769361250195425	-1.1426554489828282	-2.1894180701988986	-3.7868420383379706	-2.48041061760379	110.17626230014304
19	10.0	20.0	-1.572626555185492	-3.475394856020834	-7.0331385818655985	-11.86419116229469	-19.735866506725962	143.6812176620926
20	20.0	20.0	-0.4351091355658207	-1.0454568488629035	-1.9835306906253403	-2.8494223559353906	-4.4515629606957585	110.76508199168521
21	30.0	20.0	0.11322685885732818	0.2715811269370434	0.46856176942015093	0.7024883063509075	24.641832134736788	73.80230980369778
22	40.0	20.0	0.9735349745428272	2.2617535129083404	3.873947792637602	5.260717447526566	30.53551539908021	57.09453087330446
23	50.0	20.0	0.48197055036805314	1.1012874528381271	2.0044614952906668	3.3394369924540475	30.531254908469805	62.54158860057931
24	60.0	20.0	0.08283925404692459	0.20604996174127096	0.4702646630275608	0.8985760715313815	5.714047627226348	92.62822242242652
25	70.0	20.0	-0.17119794478323067	-0.4170274214321253	-1.059787959819393	-1.7470950762403468	2.0161989363665547	101.37890946590854
26	80.0	20.0	0.20647872554702187	0.46895042887151756	0.8638295695219866	1.5157562078830005	5.814075615797522	91.13090945237894
27	0.0	30.0	0.17726330736484447	0.38671212023375856	0.8112702065917965	1.43108628527204	5.562795573938488	91.63087250659909
28	10.0	30.0	-0.3498165033693905	-0.8644814810595608	-1.6421423943840925	-2.3574916641616044	0.2319829555183677	104.98194908745627
29	20.0	30.0	1.643037217799576	4.4973969692329305	7.971640035121314	9.643403531682049	23.218443946305364	53.02607829985877
30	30.0	30.0	4.674638020243757	13.66121399957494	19.358984658934595	10.51424292728369	16.66056043824304	35.130359955719996
31	40.0	30.0	6.539268806210114	19.367569505297965	27.64938849987302	14.978874597424808	11.549080851931507	19.915817739262582
32	50.0	30.0	5.235403296626506	12.191459593506305	14.394421569063558	8.164566729683989	20.78254905070114	39.2315997604185
33	60.0	30.0	6.904391510545686	18.769159113327753	35.013091188913215	47.516749773698606	59.79719314880285	-68.0005847352881
34	70.0	30.0	0.0844994486872596	0.2280112521379785	0.41678812434832374	0.9836777196359615	4.3675028971854095	93.91952055800506
35	80.0	30.0	-0.09090024602458495	-0.22431936339579286	-0.5522932783612161	-0.8933617617729271	2.3958464638210764	99.36502818573344
36	0.0	40.0	-0.2594363776441072	-0.59445094774014	-1.2750996156235046	-2.2167171360011872	2.373166361084683	101.97253771592425
37	10.0	40.0	0.22812445086804897	0.5988484848800414	1.0343799902721509	1.3614964314917501	4.889568138798767	91.88758250368925
38	20.0	40.0	5.93144212412909	16.018249960931247	25.620416832006025	17.146498741501663	12.37455667738004	22.908835664051924
39	30.0	40.0	7.45965484691645	23.093915227415724	35.68433692839863	19.48805792589058	4.671725145576697	9.602309925801917
40	40.0	40.0	5.940888073796436	17.112197279794245	24.025614378466024	13.558977144424135	11.500958710966694	27.861364412552458
41	50.0	40.0	6.273706285464427	18.391346286999447	23.371555358883974	13.213491390186334	15.425876418165533	23.324024260300273
42	60.0	40.0	6.453751988513014	17.632355182120488	23.03918337219898	16.221912634071217	7.7367409388751565	28.916055884221144
43	70.0	40.0	-1.242081950115515	-2.9879958028011733	-5.195486217287852	-12.977187128762816	-0.46896953205827513	122.87172063102562
44	80.0	40.0	0.1819298575970628	0.5212194874380508	1.576265115234856	2.608700390775008	4.863231990362711	90.24865315859232
45	0.0	50.0	0.5303824105765912	1.2104861053733862	2.6071298768606184	4.563432784031332	4.763293785734659	86.32527503742342
46	10.0	50.0	0.3019762488321995	0.7927316152621398	1.375713027033103	2.1023927818930135	4.759799646805971	90.66738668017356
47	20.0	50.0	8.38594148477434	25.59762372930586	37.93795662791296	21.300633556817974	1.7120560330798171	5.065788568109046
48	30.0	50.0	7.579154486979601	21.44298100251321	30.78866520876433	17.327313624772174	8.462279810967853	14.399605866002837
49	40.0	50.0	5.318932820859074	15.132291445803858	23.885059731347894	21.456829250344146	14.984937455854242	19.221949295790797
50	50.0	50.0	8.517432932713882	24.50989114263486	29.15199422029169	17.078356893767378	8.433302682081505	12.309022128510678
51	60.0	50.0	9.55086035320993	28.084207388644536	36.473017024392526	23.077328415429655	0.6284763477456033	2.186110470577736
52	70.0	50.0	0.6332503767409314	1.6650954155762305	3.5156606036560443	5.306868178779813	4.65338201444355	84.22574341080345
53	80.0	50.0	-0.6115173799189605	-1.5929123202047335	-4.371138512225362	-7.0038247266728	1.348200958529748	112.23119198049211
54	0.0	60.0	0.34007247999188595	0.7282902042917031	1.5752959420838937	2.8393957864821346	3.8492048045340357	90.66774078261633
55	10.0	60.0	0.3091215232278312	0.7544311179834082	1.3999122529040797	2.2104146991670532	4.665987195087568	90.66013321163007
56	20.0	60.0	13.753983767419601	44.160993863601256	62.074910316174176	44.61080589589209	-0.44712446902092956	-64.15356937406621
57	30.0	60.0	9.156432451536624	27.47657796158521	38.49608209877675	21.832592883965066	0.6931225170139778	2.3451920871223666
58	40.0	60.0	9.311626720521943	27.307477891453487	35.660533918616835	21.097880608288687	2.2899689509265424	4.332511910192508
59	50.0	60.0	10.218052263730497	29.464638881003506	36.24024795538312	21.741235328383365	0.5740101497973311	1.7618154217021802
60	60.0	60.0	15.388795994110543	34.45118717385799	33.89943032119528	22.283485948299504	-0.028957386230103768	-5.993942051233207
61	70.0	60.0	0.4676519136216508	0.9867058762172152	1.7353458079871054	2.913472670041949	4.362730746242026	89.53409298589006
62	80.0	60.0	-0.5442484053246263	-1.3903064627849144	-4.036709310276162	-6.483635794544213	1.5528668357541675	110.90203313717575
63	0.0	70.0	0.07780798614362297	0.15791798736118848	0.332035400973663	0.5690373820301826	4.179273613794373	94.68392762969697
64	10.0	70.0	0.15201086540240735	0.3337195876666701	0.7329218296842255	1.3043582706058239	4.145164198774679	93.33182524786619
65	20.0	70.0	0.5045948796547924	1.3285265650393039	2.3080749626490964	3.7480802278074368	3.7669129829932335	88.34381038185613
66	30.0	70.0	7.8675989134642	18.196451447717102	24.53198158283597	21.665731383340688	1.3279585368512214	26.410278135790808
67	40.0	70.0	12.016115581532713	30.337241911041513	35.378908706118764	22.026626519173895	0.14458392285660865	0.09652335927649218
68	50.0	70.0	18.501406747130265	32.93835032883061	34.61037678607593	29.698563904733692	-0.32547076337768643	-15.423227003392816
69	60.0	70.0	-11.794434775055565	-28.633091660976177	-52.65554979229902	-65.31528079342817	7.408990454143019	250.98936656761592
70	70.0	70.0	-0.29544489397668544	-0.7601060084652157	-1.9242554825253777	-3.0866999014760332	2.0301183333050012	104.0363879531383
71	80.0	70.0	-0.3494602465260245	-0.8748738259106811	-2.476197002799814	-4.1308904622867475	2.938641446977645	104.89278009054561
72	0.0	80.0	0.05854701420094538	0.11887981268515241	0.2298353241911683	0.40192503612131647	3.670017247523768	95.52079556527765
73	10.0	80.0	0.13179164448448544	0.29159538061333756	0.6257641587536253	0.962455778594729	3.9340091799852943	94.05438385756852
74	20.0	80.0	0.3382324197891958	0.7431524612744839	1.9788464337885254	3.3035186678675617	3.73936051920505	89.89688949807518
75	30.0	80.0	-0.9216111448703124	-2.2526768332583442	-4.54103490573494	-7.0953101625712955	3.4032004391448334	111.40743260729006
76	40.0	80.0	0.5157930167965966	1.1670580170702165	1.925953192706471	2.9880849051358087	4.442010952266485	88.96109991602444
77	50.0	80.0	0.8465270986009124	2.0939683683648935	4.1375532494131555	6.460951024247287	3.8603750549252203	82.60062520444853
78	60.0	80.0	-1.0890624166502851	-2.7173070673475497	-6.4421906780996565	-10.275987986023424	1.6132118221008025	118.9113363260201
79	70.0	80.0	0.1407670715125512	0.3529640911095503	0.9705701226572151	1.5471666912950592	3.80511570501226	93.18341631841336
80	80.0	80.0	0.7950609035183095	1.9486324366550298	5.554341664121727	9.17922553710751	4.0548129091835605	78.46792654941386
